Address,Company_Name,Mail,Phone_Number,Product_Name,Url
"
                           Blution GmbH

                           ",Verkäufer: Hausdeko,otto@leerise.com,+4915224527226,"Duschablage Duschkorb Edelstahl ohne bohren, Duschablage mit Haken, Dusch Ablage",https://www.otto.de/p/elegear-duschablage-duschkorb-edelstahl-ohne-bohren-duschablage-mit-haken-dusch-ablage-1-tlg-badregal-zum-haengen-10kg-max-duschzubehoer-badezimmerorganizer-S0P0V0AI/#variationId=S0P0V0AIKSEG
"
                           click-licht.de GmbH & Co. KG

                           ",Verkäufer: click-licht,otto@click-licht.de,+4923614067603,"Kunstbaum Distanzabhänger, Fitu Pendelleuchte, schwarz, Deckenmontage",https://www.otto.de/p/kunstbaum-distanzabhaenger-fitu-pendelleuchte-schwarz-deckenmontage-slv-weiteres-zubehoer-CS0NBQ00G/#variationId=S0Q3F0MU7E6J
"
                           Ferdinand Schulz

                           ",Verkäufer: nordesign,hej@nordesign-store.com,+4915788713363,Duschablage Seifenspender Set mit selbstklebender Metall Wandhalterung,https://www.otto.de/p/nordesign-duschablage-seifenspender-set-mit-selbstklebender-metall-wandhalterung-6-tlg-6-tlg-mit-hochwertigen-pumpspendern-S06BQ03D/#variationId=S06BQ03DZSZU
"
                           Traumpreisfabrik Hornung GmbH

                           ",Verkäufer: Traumpreisfabrik,otto@tpf24.de,+496819545500,LED Pendelleuchte,https://www.otto.de/p/kunstbaum-abhaengeset-medo-60-led-in-silbergrau-slv-weiteres-zubehoer-CS0NBQ056/#variationId=S0P0V0AIK2TK
"
                           DEREND GmbH

                           ",Verkäufer: BAULANDO,info@baulando.com,+4920184326335,"Zulaufschlauch Anschlußschlauch Inneng./Außeng. 3/8"" M10x1 300mm",https://www.otto.de/p/trizeratop-zulaufschlauch-anschlussschlauch-inneng-ausseng-3-8-m10x1-300mm-zubehoer-fuer-bade-kueche-S0LAO0EX/#variationId=S0LAO0EXQUUE
"
                           click-licht.de GmbH & Co. KG

                           ",Verkäufer: click-licht,otto@click-licht.de,+4923614067603,"Kunstbaum Mix&Match Tischleuchtenfuß Single Fenda, max. 60 W, schwarz",https://www.otto.de/p/kunstbaum-mix-match-tischleuchtenfuss-single-fenda-max-60-w-schwarz-slv-hoehe-43-5-cm-weiteres-zubehoer-CS0NBQ0DB/#variationId=S0R3F0ZAQJ6N
"
                           click-licht.de GmbH & Co. KG

                           ",Verkäufer: click-licht,otto@click-licht.de,+4923614067603,Kunstbaum Cover Alwaid I in Verkehrsweiß,https://www.otto.de/p/kunstbaum-cover-alwaid-i-in-verkehrsweiss-deko-light-hoehe-2-cm-weiteres-zubehoer-S095V0YY/#variationId=S095V0YYUPY5
"
                           click-licht.de GmbH & Co. KG

                           ",Verkäufer: click-licht,otto@click-licht.de,+4923614067603,Kunstbaum Abstandshalter Set Tenseo elektrisch in Schwarz,https://www.otto.de/p/kunstbaum-abstandshalter-set-tenseo-elektrisch-in-schwarz-slv-weiteres-zubehoer-S0H3F0CK/#variationId=S0H3F0CKJQHH
"
                           DEREND GmbH

                           ",Verkäufer: BAULANDO,info@baulando.com,+4920184326335,"Zulaufschlauch Anschlußschlauch Inneng./Außeng. 3/8"" M10x1 800mm",https://www.otto.de/p/trizeratop-zulaufschlauch-anschlussschlauch-inneng-ausseng-3-8-m10x1-800mm-zubehoer-fuer-bade-kueche-S0LAO0KK/#variationId=S0LAO0KKZCO9
"
                           click-licht.de GmbH & Co. KG

                           ",Verkäufer: click-licht,otto@click-licht.de,+4923614067603,"Kunstbaum Ersatz-Akku für Pina Pro, Push up, Home, Poldina L",https://www.otto.de/p/kunstbaum-ersatz-akku-fuer-pina-pro-push-up-home-poldina-l-zafferano-weiteres-zubehoer-S097Z0KZ/#variationId=S097Z0KZKX4V
"
                           WPEXZ International Handel UG (haftungsbeschränkt)

                           ",Verkäufer: WPEXZHOME,chl7758@163.com,+4901744260615,"Duschablage Duschablage ohne Bohren,Badezimmer Regal mit Seifenhalter und Haken,",https://www.otto.de/p/hytireby-duschablage-duschablage-ohne-bohren-badezimmer-regal-mit-seifenhalter-und-haken-3-tlg-schwarz-duschablage-duschkorb-fuer-bad-kueche-S0H7U0C0/#variationId=S0H7U0C014I3
